0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00,7.000000000000000000e+00,8.000000000000000000e+00,9.000000000000000000e+00
8.643151472298543636e-02,1.195119728498682810e-01,8.609152754436014132e-02,8.793279700149887745e-02,8.243310474639406471e-02,7.628798691773000518e-02,8.955508226224037638e-02,1.143299218835247960e-01,1.046063617008139018e-01,7.600723873345530124e-02
1.127152575500328102e-01,1.373507249516230100e-01,9.371128466919026456e-02,9.857806810101153727e-02,8.090231164035954770e-02,7.776885623167842376e-02,9.993500868664910441e-02,1.179206421547871475e-01,1.055059015233036912e-01,8.128773617135995333e-02
2.197588838578686810e-01,3.063134872364788874e-01,1.442890132977210083e-01,1.624496991625797027e-01,7.005475877868681811e-02,1.135758140242939668e-01,1.757551255724953687e-01,2.110290436400988623e-01,1.263349665483322892e-01,1.493574830942009934e-01
3.427218810305567298e-01,4.991923810066654088e-01,2.066045670821688718e-01,2.221262958233056750e-01,6.135698667271687057e-02,1.483185073002310506e-01,2.724007508944996658e-01,3.170808900707278166e-01,1.729891635975608077e-01,2.039210398321781026e-01
6.919860517937219679e-01,7.969676597121037043e-01,5.165654951305166387e-01,5.525737250122321198e-01,2.850467762303913327e-02,3.908312447733570116e-01,6.264698061934420581e-01,6.467465631225848277e-01,4.386171851340373018e-01,4.451846194068651008e-01
7.690155806808679495e-01,8.787312057614879990e-01,6.505435417214410210e-01,6.482682631664485884e-01,1.420599201188312878e-02,5.218944402029559448e-01,7.092777680852776490e-01,7.126315344219507075e-01,5.535901930311054597e-01,5.051285775678484580e-01
8.100941352998733969e-01,8.962337113585456816e-01,7.131515540712641821e-01,6.989038501208123533e-01,9.921962325353929010e-03,5.909029092152517926e-01,7.511006345366122439e-01,7.625510339356166289e-01,5.983199730349164636e-01,5.179783378951332562e-01
8.691130161247498931e-01,9.243848787889928920e-01,7.529550790969832263e-01,7.643165795757055347e-01,5.700387691812107936e-03,6.965431416126082187e-01,7.933256709027917131e-01,7.919456243166390630e-01,6.853024682416503088e-01,5.519630135397639581e-01
8.501937944108459710e-01,9.151454496089637125e-01,7.329923140966059236e-01,7.403672683154906009e-01,1.087599262764310515e-02,6.739767124275082288e-01,7.842165441818963467e-01,7.487274724228775158e-01,6.621817852983924446e-01,5.862134899030011503e-01
8.321061102829969691e-01,9.039173372827641328e-01,7.076675881288477798e-01,7.160857105492665076e-01,2.050328595583624999e-02,6.558308254838384199e-01,7.800623377295607952e-01,7.332503088145989611e-01,6.406047411269780723e-01,5.973775940205656720e-01
7.406810975591785473e-01,7.916525170954954449e-01,6.871966754416415357e-01,6.344439395641613411e-01,1.322299154673688970e-01,6.138142087790660062e-01,7.978514991508920406e-01,7.085207505680537476e-01,6.493260803861623520e-01,5.336027421908471347e-01
6.926316453021158503e-01,7.636292013130162593e-01,6.841944712133606332e-01,6.066527029875994348e-01,2.417829530520465842e-01,6.045165616791278174e-01,7.974237199821093691e-01,7.344834584392305743e-01,6.181749142018710952e-01,5.140424958269383948e-01
5.375900457598221660e-01,6.929945348204776812e-01,4.987824538235662852e-01,4.788533372321227555e-01,1.782153832575667229e-01,4.382549209527921152e-01,6.567577515654434706e-01,6.588071943772331185e-01,3.996065930272942879e-01,3.521726519660758337e-01
4.498449587701520702e-01,5.103456984644003658e-01,3.662426131661412065e-01,3.662133213122911735e-01,1.344758553430907833e-01,3.026459473488124496e-01,4.488174054677104841e-01,4.930347076554563168e-01,2.512969663822537947e-01,2.500467030549305414e-01
3.827926975879762939e-01,4.555577438222305209e-01,3.114375960694778511e-01,3.085028163862946760e-01,9.524481635168470517e-02,2.479096066073865068e-01,3.536890765540690595e-01,4.377711922235867359e-01,1.992732248971169351e-01,1.579827858126552076e-01
2.935927924613582762e-01,3.368383940005542088e-01,2.627059588110242094e-01,2.651861106652818600e-01,5.523579394961410094e-02,2.162471567476332568e-01,2.663648548892204038e-01,3.680787451167401025e-01,1.549812807256722158e-01,1.213468556415221028e-01
